Gol,X,Y,Campeonato,subEventoNome,idTime,idJogador,distanciaCentro,distanciaGol,Angulo
1,10,51,Copa do mundo,Penalty,8493,8410,1.0,10.520099809412457,0.6686847657975241
0,30,42,Copa do mundo,Shot,4418,25397,8.0,31.92632142919068,0.2253358433754072
0,26,55,Copa do mundo,Shot,4418,340646,5.0,27.492771777323583,0.26292409848912873
0,14,55,Copa do mundo,Shot,4418,7936,5.0,15.05498256392215,0.46730053223534024
0,19,38,Copa do mundo,Shot,4418,279545,12.0,21.420609235033442,0.31679577481592847
0,20,83,Copa do mundo,Free kick shot,4418,28115,33.0,30.01836937610036,0.17146489703371032
0,21,56,Copa do mundo,Shot,8493,61367,6.0,22.392241960107523,0.31941343087727586
0,27,64,Copa do mundo,Shot,15594,114709,14.0,29.774695632365415,0.23334456907392245
0,29,26,Copa do mundo,Shot,15594,114723,24.0,34.21348418387113,0.19028986662438663
0,27,48,Copa do mundo,Shot,15594,114762,2.0,28.379790344539195,0.2562565405951368
0,14,68,Copa do mundo,Shot,15594,70156,18.0,18.78776197422141,0.30686081917077107
0,31,39,Copa do mundo,Shot,15594,139075,11.0,33.32604086896612,0.21383255091155703
0,7,34,Copa do mundo,Shot,7712,241945,16.0,12.735089320456296,0.34697519319792164
0,27,45,Copa do mundo,Shot,7712,55990,5.0,28.535679420683156,0.2535383833048872
0,10,60,Copa do mundo,Shot,15594,14872,10.0,12.349089035228468,0.504787111082435
0,20,62,Copa do mundo,Free kick shot,7712,54,12.0,22.401785643113364,0.3049000780893932
0,21,55,Copa do mundo,Shot,7712,405,5.0,22.288225591105274,0.32227713984129003
0,16,27,Copa do mundo,Shot,7712,55990,23.0,22.488719394398604,0.24476698863903373
0,11,48,Copa do mundo,Penalty,15594,114813,2.0,11.622929923216434,0.6071775870131543
0,8,71,Copa do mundo,Shot,15594,14872,21.0,16.027554398597438,0.2473593957795706
0,24,45,Copa do mundo,Shot,7712,56026,5.0,25.40870913682944,0.2838966163814666
0,15,74,Copa do mundo,Shot,7712,54,24.0,22.16805133519859,0.23665937199451775
1,9,37,Copa do mundo,Shot,7712,56274,13.0,12.676947582127173,0.43901933687539196
0,9,36,Copa do mundo,Shot,15594,114762,14.0,13.119165369793917,0.41101006673332774
0,8,63,Copa do mundo,Shot,15594,114617,13.0,11.914801718870523,0.44610227378018025
0,10,73,Copa do mundo,Shot,15594,114709,23.0,18.268894328885914,0.235469255366503
0,7,53,Copa do mundo,Shot,15594,14909,3.0,7.604275113381945,0.8805236779631288
0,14,48,Copa do mundo,Shot,7712,15080,2.0,14.757371039585607,0.48460536525591696
0,11,56,Copa do mundo,Shot,15594,14872,6.0,12.190672663967318,0.5587877543959542
0,11,37,Copa do mundo,Shot,7712,54,13.0,14.311009747743169,0.415932290325356
0,24,56,Copa do mundo,Shot,15594,114762,6.0,25.5,0.28193327288425424
0,46,49,Copa do mundo,Shot,15594,114723,1.0,48.30437350799615,0.15123658537038553
0,8,71,Copa do mundo,Shot,4418,3682,21.0,16.027554398597438,0.2473593957795706
